time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,entry,sl,sl_pips,tp1,tp2,tp3,tag
2026-03-03 13:15:00,2026-03-03,overlap,buy,htf_level_reaction,78.3,STRONG,True,[],5190.96,premium,bullish,True,23.64,81.6,47.75623,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 13:45:00,2026-03-03,overlap,buy,london_sweep_reverse,77.3,STRONG,True,[],5136.45,premium,bullish,True,16.77,81.6,47.75623,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 13:50:00,2026-03-03,overlap,buy,london_sweep_reverse,77.3,STRONG,True,[],5145.06,premium,bullish,True,23.68,81.6,47.75623,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 13:55:00,2026-03-03,overlap,buy,london_sweep_reverse,77.3,STRONG,True,[],5149.7,premium,bullish,True,23.68,81.6,47.75623,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 14:00:00,2026-03-03,overlap,buy,london_sweep_reverse,77.3,STRONG,True,[],5146.38,premium,bullish,True,23.68,81.6,47.75623,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 14:05:00,2026-03-03,overlap,buy,london_sweep_reverse,75.3,STRONG,True,[],5166.9,premium,bullish,True,37.31,81.6,50.65293,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 14:10:00,2026-03-03,overlap,buy,london_sweep_reverse,75.3,STRONG,True,[],5185.15,premium,bullish,True,37.31,81.6,50.65293,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 14:15:00,2026-03-03,overlap,buy,london_sweep_reverse,74.1,STRONG,True,[],5188.2,premium,bullish,True,37.31,81.6,50.65293,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 14:20:00,2026-03-03,overlap,buy,london_sweep_reverse,74.1,STRONG,True,[],5190.61,premium,bullish,True,40.07,81.6,50.65293,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 14:25:00,2026-03-03,overlap,buy,london_sweep_reverse,74.1,STRONG,True,[],5200.78,premium,bullish,True,40.07,81.6,50.65293,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-03 14:45:00,2026-03-03,overlap,buy,london_sweep_reverse,74.1,STRONG,True,[],5201.59,premium,bullish,True,39.83,81.6,50.65293,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
