time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-03 13:15:00,2026-03-03,overlap,buy,htf_level_reaction,76.8,STRONG,True,[],5190.96,premium,bullish,True,23.64,80.7,47.75623,False,,5281.53,5266.7,148.3,5320.95,5350.0,5393.5,SL_HIT,-148.3,1,2026-03-03 13:17:00,False,False,LOSS
2026-03-03 13:45:00,2026-03-03,overlap,buy,london_sweep_reverse,75.8,STRONG,True,[],5136.45,premium,bullish,True,16.77,80.7,47.75623,False,,5120.54,5105.71,148.3,5175.21,5200.0,5237.96,GHOST,0.0,8,2026-03-03 13:54:00,False,False,GHOST
2026-03-04 15:55:00,2026-03-04,overlap,buy,structural_breakout,75.3,STRONG,True,[],5175.05,discount,bullish,True,44.97,80.7,39.15894,False,,5176.48,5173.98,25.0,5191.09,5200.0,5217.49,SPIKE_SL,-25.0,1,2026-03-04 15:57:00,False,False,SPIKE_SL
2026-03-05 13:35:00,2026-03-05,overlap,buy,fvg_continuation,76.7,STRONG,True,[],5159.97,discount,bullish,True,49.26,80.7,27.34535,False,,5160.22,5150.65,95.7,5195.01,5206.14,5237.96,SL_HIT,-95.7,93,2026-03-05 15:09:00,False,False,LOSS
2026-03-10 10:40:00,2026-03-10,london,buy,momentum_breakout,76.1,STRONG,True,[],5191.48,discount,bullish,True,67.68,80.7,24.53684,False,,5191.78,5184.12,76.6,5215.89,5233.8,5249.76,SL_HIT,-76.6,15,2026-03-10 10:56:00,False,False,LOSS
2026-03-10 12:40:00,2026-03-10,london,buy,momentum_breakout,72.0,STRONG,True,[],5163.01,discount,bullish,True,44.71,80.7,23.69784,False,,5163.31,5155.9,74.1,5183.48,5200.0,5219.09,BE_STOPPED,0.0,86,2026-03-10 14:07:00,True,False,BE
2026-03-18 20:35:00,2026-03-18,new_york,buy,structural_breakout,70.1,STRONG,True,[],4880.99,discount,bullish,True,38.95,80.7,26.77768,False,,4880.57,4878.07,25.0,4900.0,4932.76,4939.58,SL_HIT,-25.0,2,2026-03-18 20:38:00,False,False,LOSS
